respondent_id,thought_a_id,thought_b_id,label
32,20,14,A
29,19,21,A
37,6,19,A
32,35,5,A
37,8,6,B
32,14,18,B
32,11,16,A
32,6,32,B
32,3,38,B
32,1,8,A
29,31,23,B
32,2,36,B
32,35,0,A
6,35,29,B
32,6,13,B
37,6,30,A
37,11,17,A
16,13,17,B
16,3,25,B
16,2,36,Neither
0,39,35,A
0,18,12,A
27,0,30,B
16,7,0,B
34,12,36,B
27,12,21,A
34,39,35,B
16,1,25,B
27,23,37,B
0,18,28,A
16,31,36,A
34,4,33,B
27,12,25,B
0,8,25,A
34,16,25,B
27,8,38,A
0,15,3,A
2,20,30,B
2,22,10,A
13,14,39,B
2,9,15,A
11,10,31,B
38,32,26,B
2,11,19,B
38,20,35,A
13,7,19,B
13,1,8,B
38,17,26,B
13,3,35,A
2,18,10,A
13,24,38,B
38,11,3,A
38,35,29,B
13,21,30,Neither
13,12,34,A
2,3,10,A
11,40,38,B
28,22,34,A
22,31,39,B
28,17,22,B
28,14,26,B
28,22,25,A
28,7,15,B
22,13,33,B
28,10,5,B
22,4,12,A
22,9,27,B
41,7,32,B
28,15,27,A
3,16,17,B
3,13,28,B
12,28,2,B
21,1,36,A
3,9,15,A
3,6,17,B
3,9,12,B
3,8,19,B
12,1,39,A
12,1,23,A
21,16,7,A
12,6,31,A
3,20,13,B
12,14,35,B
3,12,22,B
12,29,27,A
3,24,26,A
21,4,12,B
21,39,36,A
30,12,38,A
40,11,39,B
39,9,19,A
30,12,10,A
30,30,27,B
40,26,36,A
30,4,17,B
30,12,25,B
30,6,22,B
40,18,33,B
39,8,13,A
40,1,5,B
30,6,12,A
40,11,37,B
30,40,5,B
30,8,5,A
14,10,35,A
14,11,17,B
14,13,22,A
14,11,18,A
14,4,19,A
14,15,33,A
31,20,18,B
31,4,9,A
14,18,31,A
14,19,28,A
14,32,36,A
14,3,33,A
14,9,12,A
19,20,24,A
14,12,24,B
14,19,5,A
14,10,31,A
14,11,31,A
19,1,12,A
9,1,19,A
15,1,20,A
10,36,0,A
15,1,11,A
8,25,30,B
15,4,1,A
15,4,20,A
15,4,8,A
15,19,25,B
9,20,7,B
15,35,25,B
9,12,10,B
15,4,15,B
9,6,18,B
15,22,31,B
9,8,9,A
15,18,12,A
10,13,22,A
33,11,29,B
33,12,29,B
33,12,38,B
10,38,29,B
33,18,5,A
8,20,3,A
